en,ha
"That is to say, a new page has been turned in the history of the region and, consequently, the world.",Alal hakika ya sauya tarihin wannan yankin da kuma tarihin duniya ma; wani sabon fasali ne ya kunno kai.
Great philosophers obtained the maximum benefit from the widely shared blessings of the divine prophets.,Wato manyan masanan falsafa sun amfana daga tabarmar da Annabawan Ubangiji suka baza; to amma wannan tabarmar ba wata tabarma ce ta wasu ‘yan tsirarun mutane na musamman ba ne.
"Muslim brothers and sisters! This year enthusiastic and sincere Iranian pilgrims are absent from the hajj ceremonies, but they are spiritually present among the pilgrims from different parts of the world and they are concerned about them and they pray that the evil progeny of the taghut do not succeed in harming them.","Ya ku 'yan'uwa musulmi maza da mata, tabbas a wannan shekarar alhazan Iran ma'abota shauki da tsarkin zuciya ba su sami halartar aikin hajji ba, to amma zukatansu na nan tare da alhazan da suka fito daga dukkan duniya, suna cikin damuwar yanayinsu, sannan suna addu'ar cewa kada Allah Ya sa wadannan la'ananniyar zuriyar dawagitai ta samu damar cutar da su."
Today the Iranian nation is exporting technical services.,A yau al'ummar Iran suna ba wasu ne ma kwarewa ta kere-kere.
I advise the brothers who want to win the people's trust that their comments should be fair.,"Ina kiran ‘yan'uwan da suke son janyo hankulan al'umma zuwa ga re su, da su yi adalci wajen fadin maganganu."
This is the significance of champions on an individual level.,Wannan ma wani bangare ne da ya shafi daidakun zakaran zakarun.
I am happy about what has been done so far and I expect you to intensify your efforts.,Lalle na yi farin ciki da abubuwan da aka gudanar sannan kuma fatan da muke da shi shi ne cewa abin da aka aikata din a kara rubanya shi.
These were the capacities of the Revolution which our magnanimous Imam utilized by relying on his accurate understanding of the existing and future needs of our society.,Wadannan wadansu abubuwa ne da wannan juyin ya samar da su wanda kuma Imaminmu mai girma shi ne ya aikata hakan sakamakon irin fahimtar da ya ke da ita dangane da abubuwan da ake bukata sannan kuma da dukkan karfinsa ya ci gaba da bin lamarin.
You may remember that the major sanctions which were initially imposed on our country happened at a time when there was no mention of nuclear energy in the country.,"Mai yiyuwa ne kuna iya tunawa, a lokacin da suka sanya babban takunkumi (na farko) wanda kuma shi ne mafarin takunkumin da suka sanya wa kasar nan, a lokacin ma dai babu wata maganar nukiliya a kasar nan."
"Therefore, discipline is a value and lack of discipline is not.","A saboda haka tsari wata kima ce, shi kuwa rashin tsari babu kima cikinsa."
The difference is that some people reach old age and some others do not.,"Wannan rayuwar dai wacce za ta kare; wasu za su kai ga tsufa, wasu kuma ba za su kai ga hakan ba."
I really feel a heavy burden on my shoulders because of the all the kindness that people from different social backgrounds showed me.,A hakikanin gaskiya kafadar mutum ta yi nauyin gaske saboda irin wannan kaunar da mutane - bangarori daban-daban na mutane - suka nuna min.
Go after things that are considered impossible and try to make them happen.,"Mu kama hanya cimma ayyukan da ake zaton ba za su yiyu ba, don mu tabbatar da yiyuwarsu."
You are in the process of establishing production lines in many countries of the world.,A da dama daga cikin kasashen duniya ana nan ana ta gina kamfanoni.
Why did the people step into the arena?,To me ya sa suka fiton?
This is while they claim to support human rights.,Ga shi kuwa suna ikirarin kare hakkokin bil'adama.
"They will try to focus on whatever you need for this progress, and they will try to limit your access to those things.","Duk wani abin da kuke bukatarsa a wannan fage na ci gaba, to su kuwa za su yi dukkanin abin da za su iya wajen ganin sun hana ku mallakan wannan abin."
"Today it is necessary to increase the interest in the Holy Quran, the interest which is prevalent everywhere. It is necessary to increase this interest on a daily basis.",A saboda haka wajibi ne a kara irin kaunar da ake yi wa Alkur'ani a dukkanin wajaje; wajibi ne a kowace rana a dinga kara hakan.
"According to what I have seen, heard or studied, such widespread developments are totally unprecedented. What is happening is new.","Gwargwadon abin da muka gani ko muka ji ko muka karanta na abin da ya shafi juye-juyen da aka gudanar, ba mu taba ganin wani irin wannan lamarin da irin wannan yanayin. Wannan wani sabon abu ne."
Sayyid Ali Khamenei,Sayyid Ali Khamenei
"If nations do not resist the US, it will go as far as it can to trample the honor of other nations underfoot.""","Wanda matukar dai ba a tsaya a gabanta ba, to kuwa za ta ci gaba da kokarin yin ta'annuti ga dukiya da mutumcin al'ummomi."
"No, they have done these things whenever they could. They used to do such things even when we used to back down against them.","A wancan lokacin ma da abin bakin ciki muka nuna gazawa a gaban makiya, sun kasance suna aikata irin wadannan abubuwan da suke yi."
You should consider how much money they are spending in order to line up different groups of Muslims against one another.,"Daya daga cikin manufar da ko shakka babu cikinta cikin irin hare-hare da zubar da jini na baya-bayan nan wanda misalinsa shi ne abin da kuka ji ya faru jiya a kasar Iraki (wato harin da aka kai birnin Bagadaza da ya yi sanadiyyar mutuwar sama da mutane 140) da kuma sauran misalai masu yawa, a Pakistan da kuma sauran yankuna na daban, ita ce a dinga zubar da jinin wani adadi na musulmi, a kawar da su, ko kuma a raunana su da yanke musu gababu."
This is one of the lessons of the Holy Prophet (s.w.a.).,Kada kan iyakoki su sanya ku fada da junanku. Wadannan wasu ne daga cikin darussan rayuwar Ma'aiki.
"Therefore, because of the importance that our elections enjoy, the enemies of the Iranian nation have always tried to take enthusiasm and excitement out of the elections.",A saboda haka bisa la'akari da muhimmancin da zabe yake da shi ne ya sanya makiyan al'ummar Iran a koda yaushe suke kokarin haifar da fitina cikin zaben Iran.
"Therefore, all those who entered the arena of elections throughout the country fulfilled this obligatory responsibility. They carried out their duty. They showed their accurate understanding.","A saboda haka dukkanin mutanen da suka shigo wannan fagen a duk fadin kasar nan, sun yi aiki ne da wannan wajibin; sun sauke wannan nauyin da ke wuyansu, sun bayyanar da irin ingantacciyar fahimtar da suke da ita."
"The law has specified what the conditions are, what the qualifications are and who are in charge of vetting.","Doka ta ayyana sharuddan da ake son cikawa, wato su waye suka cancanci tsayawa."
"For example, notice how much progress the Iranian nation has made in all political, scientific and social areas over the past 30 years - that is to say, since the beginning of the Revolution. You should know that our future progress will be even more than the amount of progress we have made so far.",Idan kuka dubi wannan tazara da aka samu tsakanin shekaru talatin din da suka gabata da kuma yau din nan - wato tun farkon juyin juya halin Musulunci ya zuwa yau - za ku ga irin gagarumin ci gaban da al'ummar Iran ta samu a dukkanin fagage na siyasa da ilimi da zamantakewa da sauransu; ku sani cewa irin ci gaban da za a samu a nan gaba zai karu sama da wanda ake da shi a yau.
"The Islamic and monotheistic hajj is the manifestation of being “firm against the unbelievers, compassionate among themselves” [the Holy Quran, Sura Fath, Ayah 29].","Aikin hajji na Musulunci kuma ma'abocin tauhidi wata alama ce ta ""masu tsanani ne a kan kafirai, masu rahama ne a tsakaninsu"" (Suratul Fath 48:29)."
"• Imam of Tehran's Friday Congregational Prayers, per Imam Khomeini's decree.",§ Limamin juma’ar birnin Tehran a shekarar 1358 (1979).
This is the first step we should take.,Wannan shi ne mataki na farko.
Safety from such dangers is not possible except by turning the Islamic world into a powerful pole.,Babu wata hanyar tsira daga hakan kuwa da ta wuce kafa wani hadin gwuiwa mai karfi na duniyar musulmi.
It is the hegemony of the arrogant powers that has humiliated the nations of the region.,Don kuwa wannan yunkurin dai a matakin farko yunkuri ne na adawa da mulkin mallakan ma'abota girman kai a wannan yankin.
"LAST ARREST AND EXILE Throughout the years 1972-1975, Ayatollah Khamenei was holding classes on the Holy Quran and Islamic ideology in three different mosques in Mashhad. These classes together with his lectures on Imam Ali's (as) Nahjul Balagha attracted thousands of conscious, politically-minded youth and students.","Irin azabtarwa da ‘yan Sabak suke yi a gidajen yari a fili yana nuni ne da cewa jami’an tsaron ba za su taba amincewa da gwagwarmaya na makami shi ma karkashin tunani irin na Musulunci ba, sannan kuma babu yadda za su iya yarda da cewa ba ni da hannu cikin hakan sakamakon irin ayyukan da nake gudanarwa a Mashhad da Tehran. Bayan an sako ni na ci gaba da darussan da nake bayarwa na tafsirin Alkur’ani da akidu a boye”."
Mr. Mahdavi rightly pointed out in his statements that the weight and influence of Imam Khomeini’s (r.a.) words and plans was mostly due to his sincerity.,Mai girma Sheikh Mahdawi (shugaban majalisar kwararrun) cikin jawabin da ya gabatar ya bayyana cewar irin tasirin da maganganun Imam suka yi da kuma samun nasarar aiwatar da abubuwan da Imam ya tsara sun samo asali ne saboda irin ikhlasin da yake da shi.
"O Conqueror of hearts and sight, O Planner of night and day,","Ya Mai sassauya zukata da idanuwa, Ya Mai jujjuya dare da rana, Ya Mai sauya karfi da yanayi, Ka sauya yanayinmu zuwa ga mafi kyawun yanayi."
Of course this has been achieved due to Islam and the revolutionary spirit and it is necessary to strengthen this spirit.,"Ko da yake hakan ya samo asali ne albarkacin Musulunci da ruhi na juyin juya hali, a saboda haka wajibi ne a karfafa irin wannan ruhi da ake da shi."
"Well, I cannot speak in detail in this regard.","Kowane guda daga cikin wadannan bangarori yana da nasa hisabin; to amma idan har kuna son amsa ce ta gaba daya, to a nan zan ce lalle an gudanar da ayyuka masu kyaun gaske a wannan fagen."
"These things show that the movement by the clergy had reached such levels in 1341 and early 1342 that security forces of the oppressive regime had started to treat seminarians, religious scholars and even marja taqlids in a brutal way.",Dukkanin wadannan abubuwa ne da suke nuni da cewa yunkurin malamai a shekarar 1341 da kuma farko-farkon 1342 ya kai wani matsayi na girma ta yadda ‘yan sanda da jami'an tsaron gwamnatin zalunci na lokacin ta yi amfani da karfi sosai a kan malamai da dalibai kai hatta ma maraja'ai ba su tsira ba.
The Leader of the Islamic Revolution said that such sophistry is the main cause of fitna and public confusion.,Babbar matsalar ita ce wadannan maganganu da irin wadannan ayyuka da yaudara da suke lalata yanayi.
"Whether they like it or not, western civilization cannot prevent this fall.","Ko sun so ko sun ki, ba za su iya hana faduwar al'adu da wayewar kasashen yammaci faduwa kasa warwas ba."
Highlighting the issue of Muslim unity is another theme that is highlighted in these messages.,"Batu na gaba shi ne jaddadawa dangane da batun hadin kan musulmi wanda musamman a cikin sakon Jagoran juyin juya halin Musulunci, mafi muhimmancin abin da ke nuni da hanyar cimma wannan hadin kan shi ne wannan farkawa ta Musulunci."
"Thus, other people started to exercise patience.",A saboda haka ne sauran mutane ma suka yi hakuri.
We are familiar with jihad.,Lalle mu muna da masaniya kan abubuwan da ya shafi jihadi (kokari).
"Therefore, don't miss the opportunity to gain proper, correct and unbiased understanding of Islam so that hopefully, due to your sense of responsibility toward the truth, future generations would write the history of this current interaction between Islam and the West with a clearer conscience and lesser resentment.","A saboda haka, kada ku bari wannan dama ta fahimtar gaskiyar Musulunci ta kubuce muku, don me yiyuwa ta hanyar wannan jin nauyi a jika da kuke da shi, al'ummomi masu zuwa za su rubuta tarihin irin wannan mu'amala da kasashen yammaci suka yi da Musulunci cikin sauki ba tare da wahala ba."
